"","tweet","date","isretweet","retweeted","retweetcount","favoritecount","favorited"
"1","McCullough Middle School presents tonight at our Board Meeting about STEAM activities #netde #edude #powerofwecsd https://t.co/OBUDm7R67f","2016-05-10 23:50:15","FALSE","FALSE","0","2","FALSE"
"2","McCullough Middle School presents tonight at our Board Meeting about STEAM activities #netde #edude #powerofwecsd https://t.co/JbjS9oTjTN","2016-05-10 23:48:56","FALSE","FALSE","0","3","FALSE"
"3","RT @zipcodewilm: Why Veterans Are Good Fit For Tech Jobs #nptech #WhyJavaMatters #netDE #inwilm

https://t.co/DZ5UXNmKpH https://t.co/bHVrB…","2016-05-10 23:48:51","TRUE","FALSE","4","0","FALSE"
"4","RT @CapeGazette: Actor and @AtlanticRecords songwriter, @TrevorJackson5, will sing at #AAA400 @NASCAR @MonsterMile #DoverDE #netde https://…","2016-05-10 23:43:08","TRUE","FALSE","7","0","FALSE"
"5","HAPPENING NOW: Lewes Mayor and City Council discuss future of Highland Heights Project. #netde https://t.co/StsQFb6oJt","2016-05-10 23:20:46","FALSE","FALSE","0","0","FALSE"
"6","Looking to get lost in a new book - check out Biblion Books in Lewes https://t.co/owzo3IIXeL #netDE #literature https://t.co/bG1cMZtIq6","2016-05-10 23:15:10","FALSE","FALSE","0","0","FALSE"
"7","RT @ChristinaK12: School Board Elections TODAY! Polls open 10am to 8pm - https://t.co/ygxoumW8eR #CSDpride #leadingtheway #netde https://t.…","2016-05-10 23:14:16","TRUE","FALSE","4","0","FALSE"
"8","RT @HarvRidgeWinery: 1 winery, 2 breweries, 1 distillery, lunch, dinner, transportation= Best. Day. Ever. Good Libations Tour. $95 https://…","2016-05-10 23:11:47","TRUE","FALSE","3","0","FALSE"
"9","RT @WDDE911: Charges brought in death of Howard High's Amy Joyner-Francis. https://t.co/fSSTglY5oc #NetDE #WilmDE","2016-05-10 22:51:21","TRUE","FALSE","3","0","FALSE"
"10","RT @RadioDawson: Bill allowing ex-felons to vote while still paying off fines passes Senate 16-4 with 1 absent #netDE #Delaware","2016-05-10 22:50:48","TRUE","FALSE","4","0","FALSE"
"11","@JonBuzby: The Youth Sports Buzz debuts on @FoxSports1290. 60-sec segment geared toward parents in #youthsports. Available on podcast #netde","2016-05-10 22:49:36","FALSE","FALSE","0","1","FALSE"
"12","RT @GovernorMarkell: Applaud Senate vote to end financial bar to voting when ppl finish probation. Voting shouldn’t depend on ability to pa…","2016-05-10 22:45:53","TRUE","FALSE","8","0","FALSE"
"13","Boxwood Rd: At Centerville Rd, earlier accident is gone, all lanes OPEN.  #NetDE","2016-05-10 22:42:04","FALSE","FALSE","0","0","FALSE"
"14","US-13: At Pine Tree Rd in Townsend, report of an accident w/injuries.  #NetDE","2016-05-10 22:37:10","FALSE","FALSE","0","0","FALSE"
"15","RT @NCCo_Politics: Why it's a big deal to rig New Castle County merit system (classified service) jobs #netDE #NCCDE #delaware https://t.co…","2016-05-10 22:37:08","TRUE","FALSE","3","0","FALSE"
"16","RT @DESenateDems: @MargaretRHenry's SB242, which removes the financial barriers for former felons seeking to reregister to vote, passed the…","2016-05-10 22:36:08","TRUE","FALSE","2","0","FALSE"
"17","Why it's a big deal to rig New Castle County merit system (classified service) jobs #netDE #NCCDE #delaware https://t.co/TtyHt9Mtcr","2016-05-10 22:34:56","FALSE","FALSE","3","6","FALSE"
"18","This is the crash that had the intersection of Boxwood Rd &amp; Centerville Rd closed.  Roads now open.  #NetDE https://t.co/oFEnHMGABn","2016-05-10 22:32:57","FALSE","FALSE","0","0","FALSE"
"19","RT @JonBuzby: The Youth Sports Buzz debuts Mon. on @FoxSports1290. 60-sec segment geared toward parents in #youthsports. Available on podca…","2016-05-10 22:32:18","TRUE","FALSE","1","0","FALSE"
"20","Come for amazing coffee and treats at Kaisy Delights in RB. Proud to support small business. #KaisyOclock #NetDe https://t.co/Xu2Dn5XL1I","2016-05-10 22:29:47","FALSE","FALSE","0","1","FALSE"
"21","RT @ChronicleNews37: KSI presented 84 certificates to employees with perfect attendance in March! #wearemilford #netde #dedication https://…","2016-05-10 22:23:57","TRUE","FALSE","1","0","FALSE"
"22","RT @HarvRidgeWinery: 1 winery, 2 breweries, 1 distillery, lunch, dinner, transportation= Best. Day. Ever. Good Libations Tour. $95 https://…","2016-05-10 22:23:53","TRUE","FALSE","3","0","FALSE"
"23","1 winery, 2 breweries, 1 distillery, lunch, dinner, transportation= Best. Day. Ever. Good Libations Tour. $95 https://t.co/XZiz9HgxFl #netde","2016-05-10 22:20:11","FALSE","FALSE","3","1","FALSE"
"24","Lewes Girl Wins Essay Contest #netde  https://t.co/MhMLkVCr8u https://t.co/nqWJ0gDjAt","2016-05-10 22:15:21","FALSE","FALSE","1","2","FALSE"
"25","RT @acherry13: Girls charged in #RIPAmy free on bail: https://t.co/Fj7ksN9QmI #NetDE #justiceforamyjoyner https://t.co/dsFBn1XdHI","2016-05-10 22:15:14","TRUE","FALSE","6","0","FALSE"
"26","Don't forget to listen to @acherry13's EdWatch tomorrow AM! #NetDE  https://t.co/Y49snoAa9j","2016-05-10 22:15:02","FALSE","FALSE","0","1","FALSE"
"27","RT @acherry13: Girls charged in #RIPAmy free on bail: https://t.co/Fj7ksN9QmI #NetDE #justiceforamyjoyner https://t.co/dsFBn1XdHI","2016-05-10 22:14:19","TRUE","FALSE","6","0","FALSE"
"28","What a great turnout at tonight's meet &amp; greet event @thegrandwilm #netde https://t.co/i6wcwgAq34","2016-05-10 22:01:31","FALSE","FALSE","0","2","FALSE"
"29","Interested in fundraising? You may be our next Development Coordinator! https://t.co/TLynVctpVg #netDE #Delaware https://t.co/15duVYjzi7","2016-05-10 21:55:13","FALSE","FALSE","1","1","FALSE"
"30","Nasty crash closes the intersection of Boxwood Road and Centerville Roads #netDE @dbctfx @NBCPhiladelphia @WDEL https://t.co/JNyfkwsgJj","2016-05-10 21:48:53","FALSE","FALSE","0","2","FALSE"
"31","Get out there, #NetDE  https://t.co/t7tvIIOIEi","2016-05-10 21:47:04","FALSE","FALSE","0","1","FALSE"
"32","Bridgeville Man Arrested On Multiple Burglary Charges #netde... https://t.co/fxJ85vIOGn","2016-05-10 21:45:55","FALSE","FALSE","0","0","FALSE"
"33","RT @delawareonline: The statistics show Delaware is at a crossroads: The young are moving out while retirees are moving in. #netDE https://…","2016-05-10 21:42:56","TRUE","FALSE","14","0","FALSE"
"34","RT @delawareliberal: #netde Christina School District Board Elections - I was asked in a comment on another post to weigh in on the ... htt…","2016-05-10 21:40:15","TRUE","FALSE","2","0","FALSE"
"35","RT @NCCo_Politics: ""Unprecedented"" Ethics Commission activity cited for FY '16 and '17 budget increases. #netde #nccde #wilmde https://t.co…","2016-05-10 21:37:01","TRUE","FALSE","2","0","FALSE"
"36","RT @NCCo_Politics: ""Unprecedented"" Ethics Commission activity cited for FY '16 and '17 budget increases. #netde #nccde #wilmde https://t.co…","2016-05-10 21:36:18","TRUE","FALSE","2","0","FALSE"
"37","RT @NCCo_Politics: There's no stopping her - NCC Risk (Waste) Management asks Council for 14.49% increase #netde #nccde https://t.co/4vKelv…","2016-05-10 21:36:14","TRUE","FALSE","1","0","FALSE"
"38","@jimmyjohns is at @thegrandwilm giving out free samples! Yum!!! #netde https://t.co/qUrqrawk2D","2016-05-10 21:36:04","FALSE","FALSE","0","0","FALSE"
"39","""Unprecedented"" Ethics Commission activity cited for FY '16 and '17 budget increases. #netde #nccde #wilmde https://t.co/id9oeyC6Zs","2016-05-10 21:34:57","FALSE","FALSE","2","3","FALSE"
"40","RT @zipcodewilm: Why Veterans Are Good Fit For Tech Jobs #nptech #WhyJavaMatters #netDE #inwilm

https://t.co/DZ5UXNmKpH https://t.co/bHVrB…","2016-05-10 21:34:31","TRUE","FALSE","4","0","FALSE"
"41","DHIN Town Hall: Latest in #HIE news from Delaware Weds 11 am EST. #netDE #HealthIT https://t.co/E7ccJc2SSC https://t.co/2vhhV8QlXy","2016-05-10 21:34:03","FALSE","FALSE","0","0","FALSE"
"42","RT @technicallyDE: Check out this event at @1313Innovation with @ktchco https://t.co/4fJidtiAie #netDE","2016-05-10 21:33:41","TRUE","FALSE","6","0","FALSE"
"43","RT @LiveINWilm: May 28th @ArdenConcerts &amp; @wxpnfm welcome @alescovedo to get #inTune #inWilm https://t.co/Xg9CMkRnOm #netde","2016-05-10 21:32:15","TRUE","FALSE","3","0","FALSE"
"44","RT @INWilmingtonDE: Are you going to #BiketoWork Friday?! Great way to kickoff @WilmGrandPrix  weekend  #inWilm! https://t.co/e4TZQqiVxD #n…","2016-05-10 21:31:37","TRUE","FALSE","2","0","FALSE"
"45","DART Poster Contest Winners Announced #netde  https://t.co/gQGGOGhDjC https://t.co/oFjMMp85Jf","2016-05-10 21:30:53","FALSE","FALSE","0","0","FALSE"
"46","RT @DowntownWilmDE: Don't miss the unveiling of the new Jimmy Hackett lounge at The Baby Grand tonight! @thegrandwilm #netde https://t.co/p…","2016-05-10 21:30:35","TRUE","FALSE","1","0","FALSE"
"47","RT @kengrantde: Downtown Wilmington meet and greet #inwilm #netde (@ The Grand Opera House - @thegrandwilm in Wilmington, DE) https://t.co/…","2016-05-10 21:30:06","TRUE","FALSE","1","0","FALSE"
"48","RT @FoodBankofDE: New blog post: It's never too early to start #healthy eating habits https://t.co/0WdPSTPOOE #netde https://t.co/UrfaPRWSpc","2016-05-10 21:28:52","TRUE","FALSE","2","0","FALSE"
"49","RT @TNJChrisC: Wilmington mayoral debate rescheduled for May 26 https://t.co/Q4hYwXzrY6 via @delawareonline #netde #votede","2016-05-10 21:26:12","TRUE","FALSE","1","0","FALSE"
"50","RT @udcpc: #BlueHens: It's an election year, attend a #UDel event ... take a class! https://t.co/C3QgVqxppF, #Delaware, #netDE https://t.co…","2016-05-10 21:25:06","TRUE","FALSE","1","0","FALSE"
"51","#BlueHens: It's an election year, attend a #UDel event ... take a class! https://t.co/C3QgVqxppF, #Delaware, #netDE https://t.co/1pvq4tPtlt","2016-05-10 21:20:07","FALSE","FALSE","1","0","FALSE"
"52","Downtown Wilmington meet and greet #inwilm #netde (@ The Grand Opera House - @thegrandwilm in Wilmington, DE) https://t.co/dEqIGtCs3a","2016-05-10 21:19:18","FALSE","FALSE","1","0","FALSE"
"53","May is #MentalHealthMonth: Join the movement &amp; pledge to be #StigmaFree @NAMICommunicate #Delaware #netde #pwd  https://t.co/fTeSIkB45C","2016-05-10 21:17:12","FALSE","FALSE","0","0","FALSE"
"54","RT @DonForAChange: Just voted in Cape BOE election. Sadly all bd members will be white. Wrong direction! @CapeGazette #netde @Deldems https…","2016-05-10 21:16:51","TRUE","FALSE","1","0","FALSE"
"55","Delaware is part of an international unconference! Join us on July 11 for #edcampldrDE https://t.co/UH6QuBFp7l #delachat #netde","2016-05-10 21:16:33","FALSE","FALSE","0","1","FALSE"
"56","Just voted in Cape BOE election. Sadly all bd members will be white. Wrong direction! @CapeGazette #netde @Deldems https://t.co/7ykHxIFzB2","2016-05-10 21:16:23","FALSE","FALSE","1","0","FALSE"
"57","How to take control of the white clover in your lawn. #netde #lawncare https://t.co/Liv5cKZhBb https://t.co/Rpp40RXywA","2016-05-10 21:09:09","FALSE","FALSE","0","0","FALSE"
"58","RT @CapeGazette: Actor and @AtlanticRecords songwriter, @TrevorJackson5, will sing at #AAA400 @NASCAR @MonsterMile #DoverDE #netde https://…","2016-05-10 21:07:16","TRUE","FALSE","7","0","FALSE"
"59","AAA PetBook is here &amp; the next AAA PetBook Photo Contest is now open https://t.co/5Sv4Xam2hA #AAADEnews #netDE https://t.co/JBsdMFuNE6","2016-05-10 21:06:37","FALSE","FALSE","0","0","FALSE"
"60","KSI presented 84 certificates to employees with perfect attendance in March! #wearemilford #netde #dedication https://t.co/IrlHEAxbzo","2016-05-10 21:05:08","FALSE","FALSE","1","2","FALSE"
"61","KSI presented 84 certificates to employees with perfect attendance in March! #wearemilford #netde #dedication https://t.co/5QWeq9GJSt","2016-05-10 21:05:08","FALSE","FALSE","0","2","FALSE"
"62","Don't miss the unveiling of the new Jimmy Hackett lounge at The Baby Grand tonight! @thegrandwilm #netde https://t.co/p2xLGUTKlg","2016-05-10 21:01:05","FALSE","FALSE","1","0","FALSE"
"63","RT @acherry13: Girls charged in #RIPAmy free on bail: https://t.co/Fj7ksN9QmI #NetDE #justiceforamyjoyner https://t.co/dsFBn1XdHI","2016-05-10 21:00:32","TRUE","FALSE","6","0","FALSE"
"64","Actor and @AtlanticRecords songwriter, @TrevorJackson5, will sing at #AAA400 @NASCAR @MonsterMile #DoverDE #netde https://t.co/5vZThOL9OT","2016-05-10 20:54:57","FALSE","FALSE","7","23","FALSE"
"65","RT @abbeysmithTV: TONIGHT: Find out which state is fighting against identity theft. #netde #netmd #netva https://t.co/s3GUEMK41Y","2016-05-10 20:53:20","TRUE","FALSE","1","0","FALSE"
"66","RT @BBBdelaware: Great advice and stories from great leaders this am @startitupde @coINLoftDE  @BPGS_  #netde https://t.co/BGzu6jM5QL","2016-05-10 20:53:09","TRUE","FALSE","4","0","FALSE"
"67","TONIGHT: Find out which state is fighting against identity theft. #netde #netmd #netva https://t.co/s3GUEMK41Y","2016-05-10 20:52:49","FALSE","FALSE","1","0","FALSE"
"68","RT @MarkEichmann: Delaware State opens doors to 'locked-out' #undocumented students via $80K private scholarship https://t.co/fuf0ajeOqy @D…","2016-05-10 20:51:51","TRUE","FALSE","1","0","FALSE"
"69","Founder of Dogfish Head on Flouting a 500-Year-Old Beer Law https://t.co/1pnXIpu32X via @HarvardBiz #netDE https://t.co/dtDMtYb5NN","2016-05-10 20:51:27","FALSE","FALSE","1","0","FALSE"
"70","There's no stopping her - NCC Risk (Waste) Management asks Council for 14.49% increase #netde #nccde https://t.co/4vKelvcd2c","2016-05-10 20:51:06","FALSE","FALSE","1","2","FALSE"
"71","A bill removing homosexuality as a condition for grounds for divorce passed the House with four votes against. #netDE","2016-05-10 20:50:59","FALSE","FALSE","0","0","FALSE"
"72","I love #LocalArt in the spring. Check out @delawaretech student showcase. #livelocal #netde #arteducation  https://t.co/4xw1dUGejJ","2016-05-10 20:50:35","FALSE","FALSE","0","0","FALSE"
"73","Former Blue Rock #NetDE  https://t.co/GOsZNkVdPi","2016-05-10 20:50:31","FALSE","FALSE","0","0","FALSE"
"74","DE-82: Campbell Rd at Centerville Rd, near Hoopes Reservoir, report of an accident w/injuries.  #NetDE","2016-05-10 20:48:59","FALSE","FALSE","0","0","FALSE"
"75","DNREC Seeks Nominees For Young Environmentalist Awards #netde... https://t.co/CpGGFibWdQ","2016-05-10 20:48:34","FALSE","FALSE","0","0","FALSE"
"76","RT @HagleyDE: Slowly but surely the wisteria on the du Pont family home is starting to bloom. #hurryupspring #netde #inwilm https://t.co/YX…","2016-05-10 20:45:32","TRUE","FALSE","2","0","FALSE"
